model,method,image,deletion_auc,insertion_auc
mobilenetv3,gradcam++,7016-65.jpg,0.7313302159309387,0.9509062767028809
mobilenetv3,gradcam++,7017-130.jpg,0.6138415932655334,0.7884956002235413
mobilenetv3,gradcam++,7017-190.jpg,0.45993682742118835,0.6339178681373596
mobilenetv3,gradcam++,7017-4.jpg,0.7004140615463257,0.8839091658592224
mobilenetv3,gradcam++,7017-61.jpg,0.5511360764503479,0.9706673622131348
mobilenetv3,gradcam++,7017-8.jpg,0.2106962651014328,0.9058537483215332
mobilenetv3,gradcam++,7018-177.jpg,0.5808225870132446,0.8904019594192505
mobilenetv3,gradcam++,7018-26.jpg,0.47879254817962646,0.9369315505027771
mobilenetv3,gradcam++,7018-65.jpg,0.425277978181839,0.7495941519737244
mobilenetv3,gradcam++,7019-191.jpg,0.38865289092063904,0.862777054309845
mobilenetv3,gradcam++,7019-2.jpg,0.5315494537353516,0.7072722911834717
mobilenetv3,gradcam++,7019-210.jpg,0.4128001034259796,0.9656662940979004
mobilenetv3,gradcam++,7019-40.jpg,0.46016356348991394,0.9407581686973572
mobilenetv3,gradcam++,7019-73.jpg,0.34193745255470276,0.8098539710044861
mobilenetv3,gradcam++,7020-141.jpg,0.31999534368515015,0.9656422138214111
mobilenetv3,gradcam++,7020-143.jpg,0.5886124968528748,0.9004259705543518
mobilenetv3,gradcam++,7020-147.jpg,0.726202130317688,0.8498505353927612
mobilenetv3,gradcam++,7020-162.jpg,0.6403704285621643,0.7597100138664246
mobilenetv3,gradcam++,7020-170.jpg,0.5163978934288025,0.8651706576347351
mobilenetv3,gradcam++,7020-26.jpg,0.5721712112426758,0.9367467164993286
mobilenetv3,gradcam++,7021-11.jpg,0.4507393538951874,0.85462486743927
mobilenetv3,gradcam++,7021-133.jpg,0.5643191337585449,0.943831205368042
mobilenetv3,gradcam++,7021-149.jpg,0.4740263819694519,0.9667935371398926
mobilenetv3,gradcam++,7021-150.jpg,0.4784441590309143,0.9676865935325623
mobilenetv3,gradcam++,7021-151.jpg,0.7118294835090637,0.9037092328071594
mobilenetv3,gradcam++,7021-165.jpg,0.6324832439422607,0.8667364120483398
mobilenetv3,gradcam++,7021-174.jpg,0.553203821182251,0.6984934210777283
mobilenetv3,gradcam++,7021-207.jpg,0.5087317824363708,0.9410688877105713
mobilenetv3,gradcam++,7021-237.jpg,0.5650606751441956,0.9307501912117004
mobilenetv3,gradcam++,7021-249.jpg,0.5033450722694397,0.8552789688110352
mobilenetv3,gradcam++,7021-26.jpg,0.7063977718353271,0.8983832597732544
mobilenetv3,gradcam++,7021-29.jpg,0.47152334451675415,0.9516905546188354
mobilenetv3,gradcam++,7021-81.jpg,0.37662994861602783,0.8782875537872314
mobilenetv3,gradcam++,7022-111.jpg,0.5930724143981934,0.646910548210144
mobilenetv3,gradcam++,7022-147.jpg,0.578231155872345,0.8862824440002441
